CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
PJPNKKKIJHLRQY-UHFFFAOYSA-N	6P6	1-(4-phenylazanylquinazolin-7-yl)ethanone
YGGWNWGVYREPPF-UHFFFAOYSA-N	6P8	~{n}-(4-phenylazanylquinazolin-7-yl)ethanamide
OBKRZWFDMHKSFJ-UHFFFAOYSA-N	6PB	6-(3-bromophenyl)-7h-purin-2-amine
SIOXPEMLGUPBBT-UHFFFAOYSA-N	6PC	pyridine-2-carboxylic acid
PELYUHWUVHDSSU-OAHLLOKOSA-M	6PE	1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine
BZDMXCRKVCKVEV-UHFFFAOYSA-N	6PF	n-[6-(5-methanesulfonamido-6-methoxypyridin-3-yl)-1,3-dihydro-2-benzofuran-4-yl]-2-(morpholin-4-yl)acetamide
BIRSGZKFKXLSJQ-SQOUGZDYSA-N	6PG	6-phosphogluconic acid
UOOPRMYYAWVCCZ-GDLZYMKVSA-N	6PH	(1r)-2-(phosphonooxy)-1-[(tridecanoyloxy)methyl]ethyl pentadecanoate
ZUDVNXAIDCSDCG-HWRGAIJTSA-N	6PJ	cy5.5-peg2
RXJPCNAPBKYKMA-XMMPIXPASA-N	6PK	o-benzyl-n-(benzylsulfonyl)-d-seryl-n-[(4-carbamimidoylphenyl)methyl]glycinamide
PZNPLUBHRSSFHT-RRHRGVEJSA-O	6PL	(4s,7r)-4-hydroxy-n,n,n-trimethyl-9-oxo-7-[(palmitoyloxy)methyl]-3,5,8-trioxa-4-phosphahexacosan-1-aminium 4-oxide
MWUFWVBVAVNBCP-NSHDSACASA-N	6PM	5-[(1s)-1-(4-methoxyphenyl)ethyl]-1',3'-dimethyl-1'h,2h-3,4'-bipyrazole
SXGQGHHNOWYMRT-UHFFFAOYSA-N	6PN	5-hexyl-2-phenoxyphenol
KGDNBXAYKVVLQA-DJLDLDEBSA-N	6PO	9-(2-deoxy-5-o-phosphono-beta-d-erythro-pentofuranosyl)-6-propoxy-9h-purin-2-amine
HZIMMWSOLFBHHZ-CLFYSBASSA-N	6PP	3-[(2z)-3-methylpent-2-en-1-yl]benzene-1,2-diol
SAOOKSMYZRFYPC-UHFFFAOYSA-N	6PQ	5-{3-[(4-methoxyphenyl)methyl]-1h-pyrazol-5-yl}-2,4-dimethyl-1,3-thiazole
HCFYWDYKLQITSR-VKHMYHEASA-N	6PR	(s)-4-amino-4-oxo-3-(2-phosphonoacetamido)butanoic acid
BUFWVGVUFJNORA-SNVBAGLBSA-N	6PS	2,4-dimethyl-5-{3-[(1r)-1-phenylethyl]-1h-pyrazol-5-yl}-1,3-thiazole
HAISKEJFQSPYKC-UHFFFAOYSA-N	6PT	4-[(5-acetyl-2-ethyl-3-oxo-6-phenyl-2,3-dihydropyridazin-4-yl)amino]benzoic acid
REVJNSVNICWODC-VJTSUQJLSA-N	6PU	(3r,4s)-1-[(1s)-7-fluoro-2,3-dihydro-1h-inden-1-yl]-n,n-dimethyl-4-{4-[4-(methylsulfonyl)piperazin-1-yl]phenyl}pyrrolidin-3-amine
AJPBKLULISUYTP-UHFFFAOYSA-N	6PV	4-{2-[(3-methoxyphenyl)amino]-4-[(piperidin-4-yl)methoxy]pyrimidin-5-yl}-n-[2-oxo-2-(phenylamino)ethyl]benzamide
OLJFTJILJDDJGV-SLFFLAALSA-N	6PW	1,5-anhydro-2,3,4-trideoxy-3-{[(4s)-3,3-dimethyl-1-(8-methylquinolin-2-yl)piperidine-4-carbonyl]amino}-d-erythro-hexitol
JECKMXQKZJERLG-HKUYNNGSSA-N	6PX	methyl n-[4-amino-3-(l-arginylamino)benzene-1-carbonyl]-l-tyrosinate
VAIHIAVLWLNYQQ-IINAIABHSA-N	6PY	5-(acetylamino)-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-7-o-[(2-methoxyethyl)carbamoyl]-d-glycero-d-galacto-non-2-enonic acid
PHEGZTCFZSDSNL-RWBPMGAUSA-N	6PZ	5,7-diamino-2,6-anhydro-3,5,7,9-tetradeoxy-l-erythro-l-galacto-nononic acid
RZFYAEOEPOUGRI-UHFFFAOYSA-N	6Q0	~{n}-[[4-(3,5-dimethyl-1,2-oxazol-4-yl)phenyl]methyl]benzenesulfonamide
RYOJEPUQWYYQQK-UHFFFAOYSA-N	6Q1	15-{4-[(4-methylpiperazin-1-yl)methyl]phenyl}-4,5,6,7,9,10,11,12-octahydro-2,16-(azenometheno)pyrrolo[2,1-d][1,3,5,9]tetraazacyclotetradecin-8(3h)-one
PBJZBHKLXZKPND-UHFFFAOYSA-N	6Q2	4-[(3-methoxyphenyl)amino]-2-phenyl-7,8-dihydro-1,6-naphthyridin-5(6h)-one
IGISMMDITOHCMM-UHFFFAOYSA-N	6Q3	3-(2-amino-6-methyl-pyrimidin-4-yl)oxypropan-1-ol
JYFHHSWWLYUOIG-JTHBVZDNSA-N	6Q4	n-methyl-n-(1-methylpiperidin-4-yl)-4-{[4-({(1r,2s)-2-[(propan-2-yl)carbamoyl]cyclopentyl}amino)-5-(trifluoromethyl)pyrimidin-2-yl]amino}benzamide
HPXXLUZXJROKDE-UHFFFAOYSA-N	6Q7	4-{5-(3-tert-butylphenyl)-1-[4-(methylsulfonyl)phenyl]-1h-pyrazol-3-yl}benzoic acid
LWWWROAXBQFQIU-UHFFFAOYSA-N	6Q8	~{n}-(4-fluorophenyl)-4-(2~{h}-indazol-6-ylsulfamoyl)-3,5-dimethyl-1~{h}-pyrrole-2-carboxamide
ZPEANOFCXGJMGS-UHFFFAOYSA-N	6Q9	~{n}-(2~{h}-indazol-6-yl)-3,5-dimethyl-1~{h}-pyrazole-4-sulfonamide
OJJVYBQJWBBERR-XKGQWQQESA-N	6QA	~{s}-[2-[3-[[(2~{r})-4-[[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-3,3-dimethyl-2-oxidanyl-butanoyl]amino]propanoylamino]ethyl] 5-[(2~{r},3~{r},5~{r},6~{s})-6-methyl-3,5-bis(oxidanyl)oxan-2-yl]oxypentanethioate
RZUOCXOYPYGSKL-GOSISDBHSA-N	6QB	1-[(1~{s})-1-(4-chloranyl-3-fluoranyl-phenyl)-2-oxidanyl-ethyl]-4-[2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]pyridin-2-one
JBYBUNCIQMPTHL-HKUYNNGSSA-N	6QC	~{n}-[(2~{s})-1-[[(2~{r})-2,3-dimethylbutyl]amino]-4-methyl-1-oxidanylidene-pentan-2-yl]-(phenylmethoxycarbonylaminomethyl)phosphonamidic acid
HKVZDTLGAPBOBY-UHFFFAOYSA-N	6QD	5-(6-oxidanylidene-3~{h}-purin-9-yl)pentylphosphonic acid
NZZCTDUINJLZLM-UHFFFAOYSA-N	6QE	~{n}-[[4-[5-[[2,3-bis(fluoranyl)phenoxy]methyl]-3-methyl-1,2-oxazol-4-yl]phenyl]methyl]-1-methyl-cyclopropane-1-sulfonamide
SVRNCBGWUMMBQB-UHFFFAOYSA-N	6QF	phenazin-1-ol
XUNBRRXZHVGCEW-UHFFFAOYSA-N	6QG	3-methyl-5,8-dioxa-17lambda-thia-4,18-diazatetracyclo[18.2.2.1,.0]pentacosa-1(22),2(6),3,9,11,13(25),20,23-octaene-17,17-dione
RQFYFNAGNBUGFC-UHFFFAOYSA-N	6QH	5-(3-chloranyl-4-methoxy-phenyl)-~{n}-[3-(1,2,4-triazol-1-yl)propyl]-1,3-oxazole-4-carboxamide
QDDLZOOWBSJEFI-UHFFFAOYSA-N	6QJ	(4-fluoranyl-3-oxidanyl-phenyl)-[6-(3-methyl-4-oxidanyl-phenyl)pyridin-2-yl]methanone
QEGVVEOAVNHRAA-UHFFFAOYSA-N	6QK	2-chloranyl-6-(4,6-dimethoxypyrimidin-2-yl)sulfanyl-benzoic acid
RYVIXQCRCQLFCM-UHFFFAOYSA-N	6QL	2,6-bis[(4,6-dimethoxypyrimidin-2-yl)oxy]benzoic acid
DUXCVYIPXRRATG-UHFFFAOYSA-N	6QM	4-[5-(4-ethoxyphenyl)-1,2,3-thiadiazol-4-yl]-6-ethylbenzene-1,3-diol
RTMUDFJHLBNEDM-UHFFFAOYSA-N	6QN	~{n}-ethyl-4-oxidanyl-2-oxidanylidene-1~{h}-1,7-naphthyridine-3-carboxamide
MXIARVBICPPOCG-UHFFFAOYSA-N	6QO	(4-fluoranyl-3-oxidanyl-phenyl)-[6-(2-fluoranyl-3-oxidanyl-phenyl)pyridin-2-yl]methanone
AXGRCXYYLJVWGE-PQRHUAHCSA-N	6QR	(2~{s},3~{r},4~{r})-4-(1~{h}-indol-3-ylsulfanyl)-3-methyl-2-[(2~{s},3~{s})-3-oxidanyl-1-oxidanylidene-butan-2-yl]-3,4-dihydro-2~{h}-pyrrole-5-carboxylic acid
SHBFRAVLHSPWTB-NGOKVRLYSA-N	6QS	[(2~{r})-oxolan-2-yl]methyl 4-(9-ethylcarbazol-3-yl)-2-methyl-5-oxidanylidene-4,6,7,8-tetrahydro-1~{h}-quinoline-3-carboxylate
FTDCCBIDVVGONG-OAHLLOKOSA-N	6QT	(2~{r})-2-(3-hydroxyphenyl)-6-oxidanyl-2,3-dihydrochromen-4-one
ACRZIJAMHSRKJJ-UHFFFAOYSA-N	6QU	[4-fluoranyl-2,3-bis(oxidanyl)phenyl]-[6-(2-fluoranyl-3-oxidanyl-phenyl)pyridin-2-yl]methanone
NRGZTHQFAQCJCQ-UHFFFAOYSA-N	6QV	(4-nitrophenoxy)-phenyl-phosphinic acid
AHTXUWSCLWCTPN-UHFFFAOYSA-N	6R3	2-azanylpenta-1,4-dien-3-one
JTHMVYBOQLDDIY-UHFFFAOYSA-N	6R4	methyl 2-[(4-methyl-5-oxidanylidene-3-propoxy-1,2,4-triazol-1-yl)carbonylsulfamoyl]benzoate
XSKZXGDFSCCXQX-UHFFFAOYSA-N	6R5	methyl 4-[(3-methoxy-4-methyl-5-oxidanylidene-1,2,4-triazol-1-yl)carbonylsulfamoyl]-5-methyl-thiophene-3-carboxylate
RUCHWTKMOWXHLU-UHFFFAOYSA-N	6R6	5-nitroanthranilic acid
PPDRLQLKHRZIJC-UHFFFAOYSA-N	6R7	5-nitrosalicylic acid
YMJMMSMKJXYRPV-SSDOTTSWSA-N	6R8	(6~{r})-6-azanyl-3-nitro-6-oxidanyl-cyclohexa-1,3-diene-1-carboxylic acid
UBPVOHPZRZIJHM-WOUKDFQISA-N	6R9	[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] ethanoate
ZHTGDAFDEHXYSS-UHFFFAOYSA-N	6RB	1-(2-hydroxyethyl)-5-[(4-methoxynaphthalen-1-yl)methyl]-~{n}-(phenylmethyl)-6,7-dihydro-4~{h}-pyrazolo[4,3-c]pyridine-3-carboxamide
FTYUTNBYQHNWNV-UHFFFAOYSA-N	6RC	4-[5-[1-(2-methoxyethyl)pyrazol-4-yl]-2-(quinolin-2-yloxymethyl)imidazo[1,2-a]pyrazin-8-yl]morpholine
XJVZXIUKPNWOSD-UHFFFAOYSA-N	6RD	5-(1~{h}-indol-3-ylmethyl)-1-methyl-~{n}-(naphthalen-1-ylmethyl)-6,7-dihydro-4~{h}-pyrazolo[4,3-c]pyridine-3-carboxamide
OIGRVZYOOMUALG-IOSLPCCCSA-O	6RE	[[2-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]-azanyl-methylidene]azanium
TZGHZEALSHYAJC-UHFFFAOYSA-N	6RG	2-phenyl-n~4~-(2-phenylethyl)quinazoline-4,7-diamine
SXKIHSHTTWSCGF-UHFFFAOYSA-N	6RH	4-(6-oxidanylidene-1~{h}-purin-9-yl)butylphosphonic acid
DRNGLYHKYPNTEA-IZLXSQMJSA-N	6RK	4-azanylcyclohexane-1-carboxylic acid
IWYJYHUNXVAVAA-OAHLLOKOSA-N	6RL	2-[[6-[(3~{r})-3-azanylpiperidin-1-yl]-3-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]methyl]-4-fluoranyl-benzenecarbonitrile
CJDCZVBFZVDWJU-XHDPSFHLSA-N	6RM	7-[(4-fluoranylphenoxy)methyl]-3-[(1~{r},2~{r})-2-(hydroxymethyl)cyclopropyl]-2-methyl-[1,3]thiazolo[3,2-a]pyrimidin-5-one
MWVZFGXUCTUKOC-UHFFFAOYSA-N	6RN	4-(pyridin-2-ylmethylamino)phenol
TZBQEYJPVLKASB-UHFFFAOYSA-N	6RO	~{n}-(4-chlorophenyl)methanesulfonamide
NJDSSVBTTVUKHM-UHFFFAOYSA-N	6RP	bis(pyrzol-1-yl)acetate scorpionate
YPFQISHSXCFZMU-UHFFFAOYSA-N	6RQ	5,6-dimethyl-1~{h}-benzimidazol-2-amine
UTGFIRRMSACIPX-SNVBAGLBSA-N	6RR	~{n}-[(3~{r})-1,1-bis(oxidanylidene)thian-3-yl]-2-methyl-pyridin-3-amine
XKZPCVJIRSIGQB-LBPRGKRZSA-N	6RS	~{n}-[(1~{s})-1-(3,4-dihydro-2~{h}-1,5-benzodioxepin-7-yl)ethyl]-2-methyl-pyridin-3-amine
DAZONCQAIYYVKR-UHFFFAOYSA-N	6RT	2,4-bis(aziridin-1-yl)-6-(1-phenylpyrrol-2-yl)-1,3,5-triazine
YGYIXUFMSVWSAM-UHFFFAOYSA-N	6RU	~{n}2,~{n}2,~{n}4,~{n}4-tetramethyl-6-(1-phenylpyrrol-2-yl)-1,3,5-triazine-2,4-diamine
FTIBNGABJNFFAI-POYBYMJQSA-N	6RV	(1~{r},2~{r})-2-[7-[[5-chloranyl-3-(trifluoromethyl)pyrazol-1-yl]methyl]-5-oxidanylidene-2-(trifluoromethyl)-[1,3]thiazolo[3,2-a]pyrimidin-3-yl]cyclopropane-1-carbonitrile
BFFKQDIRHHTNOE-NEPJUHHUSA-N	6RW	2-methyl-~{n}-[(2~{s})-2-methylsulfonylcyclopentyl]pyridin-3-amine
UFPSUOFEQKCPHZ-NSHDSACASA-N	6RY	~{n}-[(1~{s})-1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-2-methyl-pyridin-3-amine
HXYSCWJADZACTE-MRVPVSSYSA-N	6RZ	2-methyl-~{n}-[(2~{r})-1-methylsulfonylpropan-2-yl]pyridin-3-amine
BHXCHKMTMFQWLX-JTQLQIEISA-N	6S0	2-methyl-~{n}-[(1~{s})-1-thieno[3,2-b]pyridin-6-ylethyl]pyridin-3-amine
HNFMVVHMKGFCMB-UHFFFAOYSA-N	6S1	3-[3-[4-(1-azanylcyclobutyl)phenyl]-5-phenyl-imidazo[4,5-b]pyridin-2-yl]pyridin-2-amine
YXCFEMRJLRBLKN-JGKVKWKGSA-N	6S2	methyl 2-(acetylamino)-2-deoxy-6-o-sulfo-beta-d-glucopyranoside
DMJXRYSGXCLCFP-LBPRGKRZSA-N	6S4	(3~{s})-~{n}-~{tert}-butyl-1,2,3,4-tetrahydroisoquinoline-3-carboxamide
CHWQZRDDUSGKFB-IBGZPJMESA-N	6S5	(s)-n-(furan-2-ylmethyl)-1-(1,2,3,4-tetrahydroisoquinoline-3-carbonyl)piperidine-4-carboxamide
YXMGPQOPWMCEQM-OKILXGFUSA-N	6S7	2-((5-(3,7-diazabicyclo[3.3.1]nonan-3-yl)pyridin-3-yl)oxy)-n,n-dimethylethanamine
XNCYRRXMFCUPKS-UHFFFAOYSA-N	6S9	1-[3-(2-methylpyridin-4-yl)-1~{h}-pyrazolo[4,3-c]pyridin-6-yl]-3-(phenylmethyl)urea
MBNITLCAVXHYER-DHAMQIFDSA-N	6SA	acarbose derived hexasaccharide
AWDRATDZQPNJFN-VAYUFCLWSA-N	6SB	taurodeoxycholate
JECHSYMSTXETFI-UHFFFAOYSA-N	6SC	3-bromo-5-phenyl-n-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine
GCOIQPYHRLRHMQ-UHFFFAOYSA-N	6SE	triselane
RXVCNLNARLCLHQ-DEOSSOPVSA-N	6SH	5-azanyl-~{n}-[[4-[[(2~{s})-1-azanyl-4-cyclohexyl-1-oxidanylidene-butan-2-yl]carbamoyl]phenyl]methyl]-1-phenyl-pyrazole-4-carboxamide
PECRYANCKVXSRI-FDHFVPJWSA-N	6SJ	2-[(3~{s},3'~{a}~{s},6'~{s},6'~{a}~{s})-6-chloranyl-6'-(3-chlorophenyl)-4'-(cyclopropylmethyl)-2-oxidanylidene-spiro[1~{h}-indole-3,5'-3,3~{a},6,6~{a}-tetrahydro-2~{h}-pyrrolo[3,2-b]pyrrole]-1'-yl]ethanoic acid
CWDGHXCEKKZGEC-ZWCUEREDSA-N	6SK	(3~{s},3'~{s},4'~{s})-4'-azanyl-6-chloranyl-3'-(3-chlorophenyl)-1'-(2,2-dimethylpropyl)spiro[1~{h}-indole-3,2'-pyrrolidine]-2-one
AXGQUUGCTSWSMC-UHFFFAOYSA-N	6SM	5-chloranylpyrimidine-4-carboxylic acid
JHHZLHWJQPUNKB-BYPYZUCNSA-N	6SP	(3s)-pyrrolidin-3-ol
VTZPRLPCZBTKSH-VFICKSILSA-N	6SS	(3~{s},3'~{s},4'~{s},5'~{s})-4'-azanyl-6-chloranyl-3'-(3-chloranyl-2-fluoranyl-phenyl)-1'-[(3-ethoxyphenyl)methyl]-5'-methyl-spiro[1~{h}-indole-3,2'-pyrrolidine]-2-one
CCPUFNJKOGKOOG-AFKAWQRRSA-N	6ST	4-[(2~{r},3~{a}~{s},5~{s},6~{s},6~{a}~{s})-6'-chloranyl-6-(3-chloranyl-2-fluoranyl-phenyl)-4-(cyclopropylmethyl)-2'-oxidanylidene-spiro[1,2,3,3~{a},6,6~{a}-hexahydropyrrolo[3,2-b]pyrrole-5,3'-1~{h}-indole]-2-yl]benzoic acid
UQIOKJVVJMHUTP-UHFFFAOYSA-N	6SU	methyl 3-(methylsulfonylamino)benzoate
RYUZWZOTJULRNS-LLVKDONJSA-N	6SV	1-cyclohexyl-3-[[(2~{r})-oxolan-2-yl]methyl]urea
DMJWGQPYNRPLGA-KQYNXXCUSA-N	6SW	inosine-3',5'-cyclic monophosphate
AVSJXTVPIHQRPY-FDDDBJFASA-N	6SX	purine riboside-3',5'-cyclic monophosphate
NXIHNBWNDCFCGL-XVFCMESISA-N	6SY	uridine-3',5'-cyclic monophosphate
ZZUVWWINFTZMGV-JXOAFFINSA-N	6SZ	2-aminopurine riboside-3',5'-cyclic monophosphate
DOUYETYNHWVLEO-UHFFFAOYSA-N	6T0	1-(2-methylpropyl)imidazo[4,5-c]quinolin-4-amine
AGSYPSPYUHOIIZ-UHFFFAOYSA-N	6T1	2-[2-[1-[2-(3,4-dichlorophenyl)ethyl]azetidin-3-yl]oxyphenyl]-~{n}-(3-pyrrolidin-1-ylpropyl)pyridine-4-carboxamide
DPDJXTANWGNJOE-UHFFFAOYSA-N	6T4	~{n}-(4-methyl-1,3-thiazol-2-yl)ethanamide
SRUWPAISQUBIOQ-UHFFFAOYSA-N	6T5	6-methyl-5-[(4-propan-2-ylphenyl)amino]-2~{h}-1,2,4-triazin-3-one
BLSGQDNQCUBPGO-OAQYLSRUSA-N	6T6	(2r)-2-methyl-5-phenyl-2-(3-pyridin-3-ylphenyl)-2,3-dihydro-1h-imidazol-4-amine
FPHNPEYKDLCEEE-UHFFFAOYSA-N	6T7	3-(6-oxidanylidene-3-pyridin-3-yl-pyridazin-1-yl)propanoic acid
DYKCMHQIYUDANF-VXKWHMMOSA-N	6T8	n-((s)-3-(4-(aminomethyl)phenyl)-1-(((r)-4-guanidino-1-(5-hydroxy-1,3,2-dioxaborinan-2-yl)butyl)amino)-1-oxopropan-2-yl)benzamide
DWKGLYKXNUIYDM-GOSISDBHSA-N	6T9	5-ethoxy-pyridine-2-carboxylic acid [3-((r)-2-amino-5,5-difluoro-4-methyl-5,6-dihydro-4h-[1,3]oxazin-4-yl)-4-fluoro-phenyl]-amide
DLHHFYXNVIMXSY-QGZVFWFLSA-N	6TA	~{tert}-butyl (2~{s})-2-[(1,3-dihydropyrrolo[3,4-c]pyridin-2-ylcarbonylamino)methyl]-6-azaspiro[2.5]octane-6-carboxylate
YEDMOKVDDMHGJC-UHFFFAOYSA-N	6TC	~{n}-(3-azanyl-3-oxidanylidene-propyl)-5-(1-benzothiophen-5-yl)-1-(phenylmethyl)-~{n}-[(4-propan-2-yloxyphenyl)methyl]pyrazole-4-carboxamide
QZOGHNDWZHFIJP-DTORHVGOSA-N	6TE	~{n}-[3-[methyl(7~{h}-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]methanesulfonamide
PZSMDBYYYKPYFV-QHCPKHFHSA-N	6TG	(2s)-2-(4-methoxy-3,5-dimethylphenyl)-5-methyl-2-(3-pyrimidin-5-ylphenyl)-2h-imidazol-4-amine
MGTJLBBOVQWHLG-UHFFFAOYSA-N	6TJ	3-oxidanylidene-2-phenyl-1~{h}-isoindole-4-carboxylic acid
VCPDGNYFXJYJFB-UHFFFAOYSA-N	6TL	5-[2-[4-[2-(1~{h}-indol-3-yl)ethyl]piperazin-1-yl]phenyl]-~{n}-(3-pyrrolidin-1-ylpropyl)pyridine-3-carboxamide
UYKVPOQVUKTFDL-UHFFFAOYSA-N	6TM	6-[2-[4-[2-(3,4-dichlorophenyl)ethyl]piperazin-1-yl]phenyl]-~{n}-(3-pyrrolidin-1-ylpropyl)-2~{h}-pyrazolo[3,4-b]pyridine-4-carboxamide
BNTRGXQGSZZFCB-UHFFFAOYSA-N	6TN	[2,4-bis(oxidanyl)-5-propan-2-yl-phenyl]-(2-ethoxy-7,8-dihydro-5~{h}-pyrido[4,3-d]pyrimidin-6-yl)methanone
LKLFKFQUYFROPV-ADMZAUMBSA-N	6TO	(3~{r},4~{s},5~{r})-3-[(~{e})-3-(4-hydroxyphenyl)prop-2-enoyl]oxy-4,5-bis(oxidanyl)cyclohexene-1-carboxylic acid
FVVCSMCEMMLEGG-UHFFFAOYSA-N	6TP	4-amino-2-[4-(tert-butylsulfamoyl)phenyl]-n-methylthieno[3,2-c]pyridine-7-carboxamide
DLZIOTBNYZNPPK-YJMIJIGASA-N	6TS	[(1~{r},4~{z})-cyclooct-4-en-1-yl] ~{n}-[4-[4-[[5-chloranyl-4-[[2-(propanoylamino)phenyl]amino]pyrimidin-2-yl]amino]pyridin-2-yl]but-3-ynyl]carbamate
GGUZEGQAJBEJAF-UHFFFAOYSA-N	6TT	~{n}-[2-[[2-[(5-methoxypyridin-3-yl)amino]-5-(trifluoromethyl)pyrimidin-4-yl]amino]phenyl]propanamide
PDSXXDOIHKJRKJ-INIZCTEOSA-N	6TU	(1~{s})-2-(3-methoxyphenyl)-3-oxidanylidene-1-prop-2-enyl-1~{h}-isoindole-4-carboxylic acid
WKIRCCSDGDQJJF-UHFFFAOYSA-N	6TZ	3-(3-fluorophenyl)-1h-pyrazole
HRAVXYOMHLIWKD-FPCVCCKLSA-N	6U0	[(2~{r},3~{s},4~{r},5~{s})-3,4-bis(oxidanyl)-5-[1-[(2-phenyl-1~{h}-imidazol-5-yl)methyl]-1,2,3-triazol-4-yl]oxolan-2-yl]methyl dihydrogen phosphate
HSRWXLIYNCKHRZ-FQEVSTJZSA-N	6U3	2-[1-[(2~{r})-2-(2-methoxyphenyl)-2-(oxan-4-yloxy)ethyl]-5-methyl-6-(1,3-oxazol-2-yl)-2,4-bis(oxidanylidene)thieno[2,3-d]pyrimidin-3-yl]-2-methyl-propanamide
UOACBPRDWRDEHJ-KVQBGUIXSA-N	6U4	[[(2r,3s,5r)-5-(6-azanyl-2-oxidanylidene-1h-purin-9-yl)-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate
DDWBORAVXJGWPK-UHFFFAOYSA-N	6U5	~{n}-(1-methylindazol-6-yl)butane-1-sulfonamide
UMBLVHSXXWQLDL-UHFFFAOYSA-N	6U6	3-(5-chloranyl-1,3-benzothiazol-2-yl)propanoic acid
PEKZLFZZBGBOPJ-UHFFFAOYSA-N	6U7	6,7-dimethoxy-~{n}-(2-methyl-4-phenoxy-phenyl)quinazolin-4-amine
KXOBUGZMWSPKEA-RUZDIDTESA-N	6U8	(2~{r})-2-(2-bromophenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methyl-amino]-2-propan-2-yl-pentanenitrile
UIAGMCDKSXEBJQ-IBGZPJMESA-N	6U9	nimodipine
BLOCGUWRFAOSFW-UHFFFAOYSA-N	6UA	6-aminopyrimidine-2,4(3h,5h)-dione
HTIQEAQVCYTUBX-KRWDZBQOSA-N	6UB	amlodipine
XCBGSNNUPRHJGR-LJQANCHMSA-N	6UC	o3-ethyl o5-methyl (4r)-4-(2-bromophenyl)-2-[2-(dimethylamino)ethoxymethyl]-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate
PKOROKYRNIDSPX-UHFFFAOYSA-N	6UE	1-(9~{h}-fluoren-9-yl)-3-(2-methyl-4-phenyl-pyrimidin-5-yl)urea
HTRIQCMSXMSDKF-UHFFFAOYSA-N	6UF	~{n}-(pyridin-2-ylmethyl)-2-(2-thiophen-2-ylindol-1-yl)ethanamide
FBACRSKJFHDTDV-UHFFFAOYSA-N	6UG	2-fluoranyl-~{n}-[2-(4-fluorophenyl)-6-methyl-pyridin-3-yl]-4-(trifluoromethyl)benzamide
JOPADRLBMVFGBD-UHFFFAOYSA-N	6UH	1-(5-methyl-3-phenyl-1,2-oxazol-4-yl)-3-[[2-(trifluoromethyl)phenyl]methyl]urea
DXOWEAIMGARAMG-UHFFFAOYSA-N	6UI	4-[4-(6-methoxynaphthalen-2-yl)-1h-imidazol-5-yl]pyridine
QTGKTWMSCVUXHK-UHFFFAOYSA-N	6UJ	1-(2-methyl-4-phenyl-pyrimidin-5-yl)-3-naphthalen-1-yl-urea
WEXHMXAXMQENNT-UHFFFAOYSA-N	6UK	1-(2-methyl-4-phenyl-pyrimidin-5-yl)-3-[[2-(trifluoromethyl)phenyl]methyl]urea
KKTAIMZGSAQXRE-UHFFFAOYSA-N	6UL	tetracosyl palmitate
NWPAIRZLGKDVNX-UHFFFAOYSA-N	6UM	1-(2-methyl-4-phenyl-pyrimidin-5-yl)-3-pyridin-2-yl-urea
MTOBWJUHQXQURZ-ZPUQHVIOSA-N	6UN	(3~{e},5~{e})-6-oxidanyl-2-oxidanylidene-hexa-3,5-dienoic acid
JXOUQPJAWDJHOP-UHFFFAOYSA-N	6UP	8-aminonaphthalene-2-carboximidamide
AEIFATUAVHHRBC-JOYRSTEWSA-N	6UQ	(2r,3s,4r,6s)-4-hydroxy-6-{[(2r,3ar,4r,4'r,5's,6s,6'r,7ar)-4'-hydroxy-6-{[(2s,3r,4r,5s,6r)-3-hydroxy-2-{[(2r,3s,4s,5s,6s)-4-hydroxy-6-({(2r,3as,3a'r,6s,6'r,7r,7'r,7ar,7a'r)-7'-hydroxy-7'-[(1s)-1-hydroxyethyl]-6'-methyl-7-[(2-methylpropanoyl)oxy]octahydro-4h-2,4'-spirobi[[1,3]dioxolo[4,5-c]pyran]-6-yl}oxy)-5-methoxy-2-(methoxymethyl)tetrahydro-2h-pyran-3-yl]oxy}-5-methoxy-6-methyltetrahydro-2h-pyran-4-yl]oxy}-4,6',7a-trimethyloctahydro-4h-spiro[1,3-dioxolo[4,5-c]pyran-2,2'-pyran]-5'-yl]oxy}-2-methyltetrahydro-2h-pyran-3-yl 3,5-dichloro-4-hydroxy-2-methoxy-6-methylbenzoate (non-preferred name)
